v8-version,7,6,303,29,0
code-creation,Builtin,3,5545,0x7ff7dd528260,11848,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,5569,0x7ff7dd52b0c0,628,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,5589,0x7ff7dd52b340,340,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,5597,0x7ff7dd52b4a0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,5605,0x7ff7dd52b500,36,HasIC_Slow
code-creation,Builtin,3,5612,0x7ff7dd52b540,185,EnqueueMicrotask
code-creation,Builtin,3,5619,0x7ff7dd52b600,8,RunMicrotasksTrampoline
code-creation,Builtin,3,5626,0x7ff7dd52b620,2352,RunMicrotasks
code-creation,Builtin,3,5634,0x7ff7dd52bf60,2178,HasProperty
code-creation,Builtin,3,5641,0x7ff7dd52c800,1230,DeleteProperty
code-creation,Builtin,3,5648,0x7ff7dd52cce0,1936,CopyDataProperties
code-creation,Builtin,3,5656,0x7ff7dd52d480,8728,SetDataProperties
code-creation,Builtin,3,5663,0x7ff7dd52f6a0,36,Abort
code-creation,Builtin,3,5670,0x7ff7dd52f6e0,36,AbortJS
code-creation,Builtin,3,5677,0x7ff7dd52f720,12,EmptyFunction
code-creation,Builtin,3,5684,0x7ff7dd52f740,12,Illegal
code-creation,Builtin,3,5691,0x7ff7dd52f760,12,StrictPoisonPillThrower
code-creation,Builtin,3,5699,0x7ff7dd52f780,12,UnsupportedThrower
code-creation,Builtin,3,5721,0x7ff7dd52f7a0,65,ReturnReceiver
code-creation,Builtin,3,5740,0x7ff7dd52f800,36,ArrayConstructor
code-creation,Builtin,3,5763,0x7ff7dd52f840,413,ArrayConstructorImpl
code-creation,Builtin,3,5770,0x7ff7dd52f9e0,233,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5792,0x7ff7dd52fae0,233,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5815,0x7ff7dd52fbe0,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5824,0x7ff7dd52fcc0,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5833,0x7ff7dd52fda0,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5842,0x7ff7dd52fe80,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,5863,0x7ff7dd52ff60,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,5872,0x7ff7dd530040,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5880,0x7ff7dd530120,529,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5889,0x7ff7dd530340,505,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5897,0x7ff7dd530540,441,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5906,0x7ff7dd530700,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5914,0x7ff7dd5308a0,441,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5923,0x7ff7dd530a60,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,5931,0x7ff7dd530c00,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,5940,0x7ff7dd530de0,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5948,0x7ff7dd530fa0,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,5956,0x7ff7dd531000,5,InternalArrayConstructor
code-creation,Builtin,3,5964,0x7ff7dd531020,5,InternalArrayConstructorImpl
code-creation,Builtin,3,5971,0x7ff7dd531040,189,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,5979,0x7ff7dd531100,12,ArrayConcat
code-creation,Builtin,3,5986,0x7ff7dd531120,150,ArrayIsArray
code-creation,Builtin,3,5993,0x7ff7dd5311c0,12,ArrayPrototypeFill
